Phase 2: ShieldingExactTwin — NaI(Tl) Photopeak Master Dataset
Total runs: 996  |  Histories/run: 10,000,000  |  Materials: 33
Peak integration: ±2.0σ  |  NaI resolution: FWHM = 2.06×√E_keV keV
RelErr = 1/√N (relative Poisson uncertainty)
============================================================================================================================================
Energy(keV)     | Material               | Thickness(mm)  | I0           | I            | I/I0          | RelErr(I0)     | RelErr(I)     
356             | W_5Wt                  | 10             | 8392067      | 7188852      | 0.856625      | 0.00034520     | 0.00037297    
356             | W_10Wt                 | 2              | 8392067      | 8108360      | 0.966193      | 0.00034520     | 0.00035118    
356             | W_10Wt                 | 4              | 8392067      | 7833710      | 0.933466      | 0.00034520     | 0.00035729    
356             | W_10Wt                 | 6              | 8392067      | 7568209      | 0.901829      | 0.00034520     | 0.00036350    
356             | W_10Wt                 | 8              | 8392067      | 7312677      | 0.871380      | 0.00034520     | 0.00036980    
356             | W_10Wt                 | 10             | 8392067      | 7065839      | 0.841966      | 0.00034520     | 0.00037620    
356             | W_15Wt                 | 2              | 8392067      | 8077192      | 0.962479      | 0.00034520     | 0.00035186    
356             | W_15Wt                 | 4              | 8392067      | 7773860      | 0.926334      | 0.00034520     | 0.00035866    
356             | W_15Wt                 | 6              | 8392067      | 7481915      | 0.891546      | 0.00034520     | 0.00036559    
356             | W_15Wt                 | 8              | 8392067      | 7202140      | 0.858208      | 0.00034520     | 0.00037262    
356             | W_15Wt                 | 10             | 8392067      | 6932354      | 0.826060      | 0.00034520     | 0.00037980    
356             | W_20Wt                 | 2              | 8392067      | 8042989      | 0.958404      | 0.00034520     | 0.00035261    
356             | W_20Wt                 | 4              | 8392067      | 7707687      | 0.918449      | 0.00034520     | 0.00036020    
356             | W_20Wt                 | 6              | 8392067      | 7387000      | 0.880236      | 0.00034520     | 0.00036793    
356             | W_20Wt                 | 8              | 8392067      | 7080478      | 0.843711      | 0.00034520     | 0.00037581    
356             | W_20Wt                 | 10             | 8392067      | 6786663      | 0.808700      | 0.00034520     | 0.00038386    
356             | W_25Wt                 | 2              | 8392067      | 8004448      | 0.953811      | 0.00034520     | 0.00035346    
356             | W_25Wt                 | 4              | 8392067      | 7634354      | 0.909711      | 0.00034520     | 0.00036192    
356             | W_25Wt                 | 6              | 8392067      | 7281945      | 0.867718      | 0.00034520     | 0.00037058    
356             | W_25Wt                 | 8              | 8392067      | 6946581      | 0.827756      | 0.00034520     | 0.00037941    
356             | W_25Wt                 | 10             | 8392067      | 6626617      | 0.789629      | 0.00034520     | 0.00038847    
356             | W_30Wt                 | 2              | 8392067      | 7961870      | 0.948738      | 0.00034520     | 0.00035440    
356             | W_30Wt                 | 4              | 8392067      | 7552722      | 0.899984      | 0.00034520     | 0.00036387    
356             | W_30Wt                 | 6              | 8392067      | 7165319      | 0.853821      | 0.00034520     | 0.00037358    
356             | W_30Wt                 | 8              | 8392067      | 6798469      | 0.810107      | 0.00034520     | 0.00038353    
356             | W_30Wt                 | 10             | 8392067      | 6449854      | 0.768566      | 0.00034520     | 0.00039375    
356             | BaSO4_5Wt              | 2              | 8392067      | 8151362      | 0.971318      | 0.00034520     | 0.00035026    
356             | BaSO4_5Wt              | 4              | 8392067      | 7916702      | 0.943355      | 0.00034520     | 0.00035541    
356             | BaSO4_5Wt              | 6              | 8392067      | 7688990      | 0.916221      | 0.00034520     | 0.00036063    
356             | BaSO4_5Wt              | 8              | 8392067      | 7468594      | 0.889959      | 0.00034520     | 0.00036592    
356             | BaSO4_5Wt              | 10             | 8392067      | 7254656      | 0.864466      | 0.00034520     | 0.00037127    
356             | BaSO4_10Wt             | 2              | 8392067      | 8139810      | 0.969941      | 0.00034520     | 0.00035050    
356             | BaSO4_10Wt             | 4              | 8392067      | 7894315      | 0.940688      | 0.00034520     | 0.00035591    
356             | BaSO4_10Wt             | 6              | 8392067      | 7656431      | 0.912342      | 0.00034520     | 0.00036140    
356             | BaSO4_10Wt             | 8              | 8392067      | 7426512      | 0.884944      | 0.00034520     | 0.00036695    
356             | BaSO4_10Wt             | 10             | 8392067      | 7203629      | 0.858386      | 0.00034520     | 0.00037258    
356             | BaSO4_15Wt             | 2              | 8392067      | 8127412      | 0.968464      | 0.00034520     | 0.00035077    
356             | BaSO4_15Wt             | 4              | 8392067      | 7870237      | 0.937819      | 0.00034520     | 0.00035646    
356             | BaSO4_15Wt             | 6              | 8392067      | 7621637      | 0.908195      | 0.00034520     | 0.00036222    
356             | BaSO4_15Wt             | 8              | 8392067      | 7381410      | 0.879570      | 0.00034520     | 0.00036807    
356             | BaSO4_15Wt             | 10             | 8392067      | 7148711      | 0.851842      | 0.00034520     | 0.00037401    
356             | BaSO4_20Wt             | 2              | 8392067      | 8113886      | 0.966852      | 0.00034520     | 0.00035106    
356             | BaSO4_20Wt             | 4              | 8392067      | 7844433      | 0.934744      | 0.00034520     | 0.00035704    
356             | BaSO4_20Wt             | 6              | 8392067      | 7583869      | 0.903695      | 0.00034520     | 0.00036312    
356             | BaSO4_20Wt             | 8              | 8392067      | 7332906      | 0.873790      | 0.00034520     | 0.00036929    
356             | BaSO4_20Wt             | 10             | 8392067      | 7089857      | 0.844828      | 0.00034520     | 0.00037556    
356             | BaSO4_25Wt             | 2              | 8392067      | 8099292      | 0.965113      | 0.00034520     | 0.00035138    
356             | BaSO4_25Wt             | 4              | 8392067      | 7816313      | 0.931393      | 0.00034520     | 0.00035768    
356             | BaSO4_25Wt             | 6              | 8392067      | 7543345      | 0.898866      | 0.00034520     | 0.00036410    
356             | BaSO4_25Wt             | 8              | 8392067      | 7280794      | 0.867581      | 0.00034520     | 0.00037060    
356             | BaSO4_25Wt             | 10             | 8392067      | 7027581      | 0.837408      | 0.00034520     | 0.00037722    
356             | BaSO4_30Wt             | 2              | 8392067      | 8083683      | 0.963253      | 0.00034520     | 0.00035172    
356             | BaSO4_30Wt             | 4              | 8392067      | 7785953      | 0.927775      | 0.00034520     | 0.00035838    
356             | BaSO4_30Wt             | 6              | 8392067      | 7499420      | 0.893632      | 0.00034520     | 0.00036516    
356             | BaSO4_30Wt             | 8              | 8392067      | 7224436      | 0.860865      | 0.00034520     | 0.00037205    
356             | BaSO4_30Wt             | 10             | 8392067      | 6959692      | 0.829318      | 0.00034520     | 0.00037906    
356             | Bi2O3_5Wt              | 2              | 8392067      | 8132932      | 0.969121      | 0.00034520     | 0.00035065    
356             | Bi2O3_5Wt              | 4              | 8392067      | 7880817      | 0.939079      | 0.00034520     | 0.00035622    
356             | Bi2O3_5Wt              | 6              | 8392067      | 7636867      | 0.910010      | 0.00034520     | 0.00036186    
356             | Bi2O3_5Wt              | 8              | 8392067      | 7401097      | 0.881916      | 0.00034520     | 0.00036758    
356             | Bi2O3_5Wt              | 10             | 8392067      | 7172831      | 0.854716      | 0.00034520     | 0.00037338    
356             | Bi2O3_10Wt             | 2              | 8392067      | 8101212      | 0.965342      | 0.00034520     | 0.00035134    
356             | Bi2O3_10Wt             | 4              | 8392067      | 7819508      | 0.931774      | 0.00034520     | 0.00035761    
356             | Bi2O3_10Wt             | 6              | 8392067      | 7548153      | 0.899439      | 0.00034520     | 0.00036398    
356             | Bi2O3_10Wt             | 8              | 8392067      | 7286540      | 0.868265      | 0.00034520     | 0.00037046    
356             | Bi2O3_10Wt             | 10             | 8392067      | 7034438      | 0.838225      | 0.00034520     | 0.00037704    
356             | Bi2O3_15Wt             | 2              | 8392067      | 8066191      | 0.961169      | 0.00034520     | 0.00035210    
356             | Bi2O3_15Wt             | 4              | 8392067      | 7752968      | 0.923845      | 0.00034520     | 0.00035914    
356             | Bi2O3_15Wt             | 6              | 8392067      | 7451658      | 0.887941      | 0.00034520     | 0.00036633    
356             | Bi2O3_15Wt             | 8              | 8392067      | 7163011      | 0.853545      | 0.00034520     | 0.00037364    
356             | Bi2O3_15Wt             | 10             | 8392067      | 6885632      | 0.820493      | 0.00034520     | 0.00038109    
356             | Bi2O3_20Wt             | 2              | 8392067      | 8028296      | 0.956653      | 0.00034520     | 0.00035293    
356             | Bi2O3_20Wt             | 4              | 8392067      | 7679633      | 0.915106      | 0.00034520     | 0.00036085    
356             | Bi2O3_20Wt             | 6              | 8392067      | 7346520      | 0.875412      | 0.00034520     | 0.00036894    
356             | Bi2O3_20Wt             | 8              | 8392067      | 7029211      | 0.837602      | 0.00034520     | 0.00037718    
356             | Bi2O3_20Wt             | 10             | 8392067      | 6725165      | 0.801372      | 0.00034520     | 0.00038561    
356             | Bi2O3_25Wt             | 2              | 8392067      | 7986709      | 0.951697      | 0.00034520     | 0.00035385    
356             | Bi2O3_25Wt             | 4              | 8392067      | 7599903      | 0.905606      | 0.00034520     | 0.00036274    
356             | Bi2O3_25Wt             | 6              | 8392067      | 7232692      | 0.861849      | 0.00034520     | 0.00037183    
356             | Bi2O3_25Wt             | 8              | 8392067      | 6884042      | 0.820304      | 0.00034520     | 0.00038113    
356             | Bi2O3_25Wt             | 10             | 8392067      | 6551759      | 0.780709      | 0.00034520     | 0.00039068    
356             | Bi2O3_30Wt             | 2              | 8392067      | 7940204      | 0.946156      | 0.00034520     | 0.00035488    
356             | Bi2O3_30Wt             | 4              | 8392067      | 7511856      | 0.895114      | 0.00034520     | 0.00036486    
356             | Bi2O3_30Wt             | 6              | 8392067      | 7107643      | 0.846948      | 0.00034520     | 0.00037509    
356             | Bi2O3_30Wt             | 8              | 8392067      | 6725154      | 0.801370      | 0.00034520     | 0.00038561    
356             | Bi2O3_30Wt             | 10             | 8392067      | 6363936      | 0.758328      | 0.00034520     | 0.00039640    
511             | PPS_0Wt                | 2              | 6913935      | 6747133      | 0.975875      | 0.00038031     | 0.00038498    
511             | PPS_0Wt                | 4              | 6913935      | 6587603      | 0.952801      | 0.00038031     | 0.00038962    
511             | PPS_0Wt                | 6              | 6913935      | 6432604      | 0.930382      | 0.00038031     | 0.00039428    
511             | PPS_0Wt                | 8              | 6913935      | 6280671      | 0.908408      | 0.00038031     | 0.00039902    
511             | PPS_0Wt                | 10             | 6913935      | 6131823      | 0.886879      | 0.00038031     | 0.00040384    
511             | G4_Pb                  | 2              | 6913935      | 4914669      | 0.710835      | 0.00038031     | 0.00045108    
511             | G4_Pb                  | 4              | 6913935      | 3494302      | 0.505400      | 0.00038031     | 0.00053496    
511             | G4_Pb                  | 6              | 6913935      | 2484375      | 0.359329      | 0.00038031     | 0.00063444    
511             | G4_Pb                  | 8              | 6913935      | 1766091      | 0.255439      | 0.00038031     | 0.00075248    
511             | G4_Pb                  | 10             | 6913935      | 1255140      | 0.181538      | 0.00038031     | 0.00089259    
511             | G4_W                   | 2              | 6913935      | 4200366      | 0.607522      | 0.00038031     | 0.00048793    
511             | G4_W                   | 4              | 6913935      | 2554735      | 0.369505      | 0.00038031     | 0.00062564    
511             | G4_W                   | 6              | 6913935      | 1551951      | 0.224467      | 0.00038031     | 0.00080271    
511             | G4_W                   | 8              | 6913935      | 944342       | 0.136585      | 0.00038031     | 0.00102905    
511             | G4_W                   | 10             | 6913935      | 574994       | 0.083165      | 0.00038031     | 0.00131877    
511             | Ti3C2O2_5Wt            | 2              | 6913935      | 6741387      | 0.975043      | 0.00038031     | 0.00038515    
511             | Ti3C2O2_5Wt            | 4              | 6913935      | 6576749      | 0.951231      | 0.00038031     | 0.00038994    
511             | Ti3C2O2_5Wt            | 6              | 6913935      | 6416046      | 0.927988      | 0.00038031     | 0.00039479    
511             | Ti3C2O2_5Wt            | 8              | 6913935      | 6259556      | 0.905354      | 0.00038031     | 0.00039969    
511             | Ti3C2O2_5Wt            | 10             | 6913935      | 6105893      | 0.883128      | 0.00038031     | 0.00040469    
511             | Ti3C2O2_10Wt           | 2              | 6913935      | 6735448      | 0.974184      | 0.00038031     | 0.00038532    
511             | Ti3C2O2_10Wt           | 4              | 6913935      | 6564941      | 0.949523      | 0.00038031     | 0.00039029    
511             | Ti3C2O2_10Wt           | 6              | 6913935      | 6398633      | 0.925469      | 0.00038031     | 0.00039533    
511             | Ti3C2O2_10Wt           | 8              | 6913935      | 6237068      | 0.902101      | 0.00038031     | 0.00040041    
511             | Ti3C2O2_10Wt           | 10             | 6913935      | 6077992      | 0.879093      | 0.00038031     | 0.00040562    
511             | Ti3C2O2_15Wt           | 2              | 6913935      | 6728789      | 0.973221      | 0.00038031     | 0.00038551    
511             | Ti3C2O2_15Wt           | 4              | 6913935      | 6552169      | 0.947676      | 0.00038031     | 0.00039067    
511             | Ti3C2O2_15Wt           | 6              | 6913935      | 6380253      | 0.922811      | 0.00038031     | 0.00039590    
511             | Ti3C2O2_15Wt           | 8              | 6913935      | 6212465      | 0.898543      | 0.00038031     | 0.00040121    
511             | Ti3C2O2_15Wt           | 10             | 6913935      | 6048353      | 0.874806      | 0.00038031     | 0.00040661    
511             | Ti3C2O2_20Wt           | 2              | 6913935      | 6721716      | 0.972198      | 0.00038031     | 0.00038571    
511             | Ti3C2O2_20Wt           | 4              | 6913935      | 6537998      | 0.945626      | 0.00038031     | 0.00039109    
511             | Ti3C2O2_20Wt           | 6              | 6913935      | 6359918      | 0.919870      | 0.00038031     | 0.00039653    
511             | Ti3C2O2_20Wt           | 8              | 6913935      | 6185898      | 0.894700      | 0.00038031     | 0.00040207    
511             | Ti3C2O2_20Wt           | 10             | 6913935      | 6016338      | 0.870176      | 0.00038031     | 0.00040769    
511             | Ti3C2O2_25Wt           | 2              | 6913935      | 6713665      | 0.971034      | 0.00038031     | 0.00038594    
511             | Ti3C2O2_25Wt           | 4              | 6913935      | 6522939      | 0.943448      | 0.00038031     | 0.00039154    
511             | Ti3C2O2_25Wt           | 6              | 6913935      | 6337952      | 0.916692      | 0.00038031     | 0.00039721    
511             | Ti3C2O2_25Wt           | 8              | 6913935      | 6157304      | 0.890564      | 0.00038031     | 0.00040300    
511             | Ti3C2O2_25Wt           | 10             | 6913935      | 5981255      | 0.865101      | 0.00038031     | 0.00040889    
511             | Ti3C2O2_30Wt           | 2              | 6913935      | 6705273      | 0.969820      | 0.00038031     | 0.00038618    
511             | Ti3C2O2_30Wt           | 4              | 6913935      | 6506233      | 0.941032      | 0.00038031     | 0.00039204    
511             | Ti3C2O2_30Wt           | 6              | 6913935      | 6313925      | 0.913217      | 0.00038031     | 0.00039797    
511             | Ti3C2O2_30Wt           | 8              | 6913935      | 6126149      | 0.886058      | 0.00038031     | 0.00040402    
511             | Ti3C2O2_30Wt           | 10             | 6913935      | 5943027      | 0.859572      | 0.00038031     | 0.00041020    
511             | Pb_5Wt                 | 2              | 6913935      | 6736521      | 0.974340      | 0.00038031     | 0.00038529    
511             | Pb_5Wt                 | 4              | 6913935      | 6564159      | 0.949410      | 0.00038031     | 0.00039031    
511             | Pb_5Wt                 | 6              | 6913935      | 6395690      | 0.925043      | 0.00038031     | 0.00039542    
511             | Pb_5Wt                 | 8              | 6913935      | 6232401      | 0.901426      | 0.00038031     | 0.00040056    
511             | Pb_5Wt                 | 10             | 6913935      | 6072476      | 0.878295      | 0.00038031     | 0.00040580    
511             | Pb_10Wt                | 2              | 6913935      | 6721856      | 0.972219      | 0.00038031     | 0.00038571    
511             | Pb_10Wt                | 4              | 6913935      | 6535904      | 0.945323      | 0.00038031     | 0.00039115    
511             | Pb_10Wt                | 6              | 6913935      | 6353991      | 0.919012      | 0.00038031     | 0.00039671    
511             | Pb_10Wt                | 8              | 6913935      | 6178372      | 0.893612      | 0.00038031     | 0.00040231    
511             | Pb_10Wt                | 10             | 6913935      | 6006593      | 0.868766      | 0.00038031     | 0.00040802    
511             | Pb_15Wt                | 2              | 6913935      | 6705817      | 0.969899      | 0.00038031     | 0.00038617    
511             | Pb_15Wt                | 4              | 6913935      | 6504270      | 0.940748      | 0.00038031     | 0.00039210    
511             | Pb_15Wt                | 6              | 6913935      | 6308446      | 0.912425      | 0.00038031     | 0.00039814    
511             | Pb_15Wt                | 8              | 6913935      | 6119250      | 0.885060      | 0.00038031     | 0.00040425    
511             | Pb_15Wt                | 10             | 6913935      | 5935397      | 0.858469      | 0.00038031     | 0.00041046    
511             | Pb_20Wt                | 2              | 6913935      | 6688345      | 0.967372      | 0.00038031     | 0.00038667    
511             | Pb_20Wt                | 4              | 6913935      | 6469904      | 0.935777      | 0.00038031     | 0.00039314    
511             | Pb_20Wt                | 6              | 6913935      | 6259005      | 0.905274      | 0.00038031     | 0.00039971    
511             | Pb_20Wt                | 8              | 6913935      | 6055067      | 0.875777      | 0.00038031     | 0.00040639    
511             | Pb_20Wt                | 10             | 6913935      | 5857469      | 0.847198      | 0.00038031     | 0.00041319    
511             | Pb_25Wt                | 2              | 6913935      | 6668403      | 0.964487      | 0.00038031     | 0.00038725    
511             | Pb_25Wt                | 4              | 6913935      | 6431723      | 0.930255      | 0.00038031     | 0.00039431    
511             | Pb_25Wt                | 6              | 6913935      | 6204067      | 0.897328      | 0.00038031     | 0.00040148    
511             | Pb_25Wt                | 8              | 6913935      | 5984420      | 0.865559      | 0.00038031     | 0.00040878    
511             | Pb_25Wt                | 10             | 6913935      | 5772240      | 0.834870      | 0.00038031     | 0.00041622    
511             | Pb_30Wt                | 2              | 6913935      | 6646332      | 0.961295      | 0.00038031     | 0.00038789    
511             | Pb_30Wt                | 4              | 6913935      | 6389470      | 0.924144      | 0.00038031     | 0.00039561    
511             | Pb_30Wt                | 6              | 6913935      | 6143194      | 0.888524      | 0.00038031     | 0.00040346    
511             | Pb_30Wt                | 8              | 6913935      | 5906174      | 0.854242      | 0.00038031     | 0.00041148    
511             | Pb_30Wt                | 10             | 6913935      | 5677814      | 0.821213      | 0.00038031     | 0.00041967    
511             | W_5Wt                  | 2              | 6913935      | 6735349      | 0.974170      | 0.00038031     | 0.00038532    
511             | W_5Wt                  | 4              | 6913935      | 6565095      | 0.949545      | 0.00038031     | 0.00039028    
511             | W_5Wt                  | 6              | 6913935      | 6399012      | 0.925524      | 0.00038031     | 0.00039532    
511             | W_5Wt                  | 8              | 6913935      | 6236920      | 0.902080      | 0.00038031     | 0.00040042    
511             | W_5Wt                  | 10             | 6913935      | 6078129      | 0.879113      | 0.00038031     | 0.00040562    
511             | W_10Wt                 | 2              | 6913935      | 6722516      | 0.972314      | 0.00038031     | 0.00038569    
511             | W_10Wt                 | 4              | 6913935      | 6539989      | 0.945914      | 0.00038031     | 0.00039103    
511             | W_10Wt                 | 6              | 6913935      | 6361931      | 0.920161      | 0.00038031     | 0.00039647    
511             | W_10Wt                 | 8              | 6913935      | 6189095      | 0.895162      | 0.00038031     | 0.00040196    
511             | W_10Wt                 | 10             | 6913935      | 6019804      | 0.870677      | 0.00038031     | 0.00040758    
511             | W_15Wt                 | 2              | 6913935      | 6708095      | 0.970228      | 0.00038031     | 0.00038610    
511             | W_15Wt                 | 4              | 6913935      | 6511681      | 0.941820      | 0.00038031     | 0.00039188    
511             | W_15Wt                 | 6              | 6913935      | 6321656      | 0.914335      | 0.00038031     | 0.00039773    
511             | W_15Wt                 | 8              | 6913935      | 6136167      | 0.887507      | 0.00038031     | 0.00040369    
511             | W_15Wt                 | 10             | 6913935      | 5955825      | 0.861423      | 0.00038031     | 0.00040976    
511             | W_20Wt                 | 2              | 6913935      | 6692215      | 0.967931      | 0.00038031     | 0.00038656    
511             | W_20Wt                 | 4              | 6913935      | 6480993      | 0.937381      | 0.00038031     | 0.00039281    
511             | W_20Wt                 | 6              | 6913935      | 6276388      | 0.907788      | 0.00038031     | 0.00039916    
511             | W_20Wt                 | 8              | 6913935      | 6078464      | 0.879161      | 0.00038031     | 0.00040560    
511             | W_20Wt                 | 10             | 6913935      | 5885568      | 0.851262      | 0.00038031     | 0.00041220    
511             | W_25Wt                 | 2              | 6913935      | 6674642      | 0.965390      | 0.00038031     | 0.00038707    
511             | W_25Wt                 | 4              | 6913935      | 6446280      | 0.932361      | 0.00038031     | 0.00039386    
511             | W_25Wt                 | 6              | 6913935      | 6227308      | 0.900689      | 0.00038031     | 0.00040073    
511             | W_25Wt                 | 8              | 6913935      | 6014051      | 0.869845      | 0.00038031     | 0.00040777    
511             | W_25Wt                 | 10             | 6913935      | 5807532      | 0.839975      | 0.00038031     | 0.00041496    
511             | W_30Wt                 | 2              | 6913935      | 6654714      | 0.962507      | 0.00038031     | 0.00038765    
511             | W_30Wt                 | 4              | 6913935      | 6407938      | 0.926815      | 0.00038031     | 0.00039504    
511             | W_30Wt                 | 6              | 6913935      | 6171258      | 0.892583      | 0.00038031     | 0.00040254    
511             | W_30Wt                 | 8              | 6913935      | 5942288      | 0.859465      | 0.00038031     | 0.00041023    
511             | W_30Wt                 | 10             | 6913935      | 5721503      | 0.827532      | 0.00038031     | 0.00041807    
511             | BaSO4_5Wt              | 2              | 6913935      | 6740989      | 0.974986      | 0.00038031     | 0.00038516    
511             | BaSO4_5Wt              | 4              | 6913935      | 6576081      | 0.951134      | 0.00038031     | 0.00038996    
511             | BaSO4_5Wt              | 6              | 6913935      | 6414996      | 0.927836      | 0.00038031     | 0.00039482    
511             | BaSO4_5Wt              | 8              | 6913935      | 6258024      | 0.905132      | 0.00038031     | 0.00039974    
511             | BaSO4_5Wt              | 10             | 6913935      | 6104205      | 0.882884      | 0.00038031     | 0.00040475    
511             | BaSO4_10Wt             | 2              | 6913935      | 6734817      | 0.974093      | 0.00038031     | 0.00038533    
511             | BaSO4_10Wt             | 4              | 6913935      | 6563473      | 0.949311      | 0.00038031     | 0.00039033    
511             | BaSO4_10Wt             | 6              | 6913935      | 6396369      | 0.925142      | 0.00038031     | 0.00039540    
511             | BaSO4_10Wt             | 8              | 6913935      | 6234183      | 0.901684      | 0.00038031     | 0.00040051    
511             | BaSO4_10Wt             | 10             | 6913935      | 6074850      | 0.878639      | 0.00038031     | 0.00040573    
511             | BaSO4_15Wt             | 2              | 6913935      | 6727582      | 0.973047      | 0.00038031     | 0.00038554    
511             | BaSO4_15Wt             | 4              | 6913935      | 6550042      | 0.947368      | 0.00038031     | 0.00039073    
511             | BaSO4_15Wt             | 6              | 6913935      | 6376780      | 0.922308      | 0.00038031     | 0.00039600    
511             | BaSO4_15Wt             | 8              | 6913935      | 6208467      | 0.897964      | 0.00038031     | 0.00040134    
511             | BaSO4_15Wt             | 10             | 6913935      | 6043359      | 0.874084      | 0.00038031     | 0.00040678    
511             | BaSO4_20Wt             | 2              | 6913935      | 6720187      | 0.971977      | 0.00038031     | 0.00038575    
511             | BaSO4_20Wt             | 4              | 6913935      | 6535186      | 0.945219      | 0.00038031     | 0.00039117    
511             | BaSO4_20Wt             | 6              | 6913935      | 6355702      | 0.919260      | 0.00038031     | 0.00039666    
511             | BaSO4_20Wt             | 8              | 6913935      | 6180636      | 0.893939      | 0.00038031     | 0.00040224    
511             | BaSO4_20Wt             | 10             | 6913935      | 6009665      | 0.869211      | 0.00038031     | 0.00040792    
511             | BaSO4_25Wt             | 2              | 6913935      | 6712040      | 0.970799      | 0.00038031     | 0.00038599    
511             | BaSO4_25Wt             | 4              | 6913935      | 6519232      | 0.942912      | 0.00038031     | 0.00039165    
511             | BaSO4_25Wt             | 6              | 6913935      | 6332468      | 0.915899      | 0.00038031     | 0.00039739    
511             | BaSO4_25Wt             | 8              | 6913935      | 6150500      | 0.889580      | 0.00038031     | 0.00040322    
511             | BaSO4_25Wt             | 10             | 6913935      | 5972676      | 0.863861      | 0.00038031     | 0.00040918    
511             | BaSO4_30Wt             | 2              | 6913935      | 6702978      | 0.969488      | 0.00038031     | 0.00038625    
511             | BaSO4_30Wt             | 4              | 6913935      | 6501757      | 0.940384      | 0.00038031     | 0.00039218    
511             | BaSO4_30Wt             | 6              | 6913935      | 6307676      | 0.912313      | 0.00038031     | 0.00039817    
511             | BaSO4_30Wt             | 8              | 6913935      | 6117947      | 0.884872      | 0.00038031     | 0.00040429    
511             | BaSO4_30Wt             | 10             | 6913935      | 5933447      | 0.858187      | 0.00038031     | 0.00041053    
511             | Bi2O3_5Wt              | 2              | 6913935      | 6737071      | 0.974419      | 0.00038031     | 0.00038527    
511             | Bi2O3_5Wt              | 4              | 6913935      | 6565304      | 0.949576      | 0.00038031     | 0.00039028    
511             | Bi2O3_5Wt              | 6              | 6913935      | 6397331      | 0.925281      | 0.00038031     | 0.00039537    
511             | Bi2O3_5Wt              | 8              | 6913935      | 6234506      | 0.901730      | 0.00038031     | 0.00040050    
511             | Bi2O3_5Wt              | 10             | 6913935      | 6075081      | 0.878672      | 0.00038031     | 0.00040572    
511             | Bi2O3_10Wt             | 2              | 6913935      | 6723142      | 0.972405      | 0.00038031     | 0.00038567    
511             | Bi2O3_10Wt             | 4              | 6913935      | 6538321      | 0.945673      | 0.00038031     | 0.00039108    
511             | Bi2O3_10Wt             | 6              | 6913935      | 6357695      | 0.919548      | 0.00038031     | 0.00039660    
511             | Bi2O3_10Wt             | 8              | 6913935      | 6183018      | 0.894284      | 0.00038031     | 0.00040216    
511             | Bi2O3_10Wt             | 10             | 6913935      | 6012263      | 0.869586      | 0.00038031     | 0.00040783    
511             | Bi2O3_15Wt             | 2              | 6913935      | 6708055      | 0.970222      | 0.00038031     | 0.00038610    
511             | Bi2O3_15Wt             | 4              | 6913935      | 6508324      | 0.941334      | 0.00038031     | 0.00039198    
511             | Bi2O3_15Wt             | 6              | 6913935      | 6314395      | 0.913285      | 0.00038031     | 0.00039796    
511             | Bi2O3_15Wt             | 8              | 6913935      | 6127063      | 0.886190      | 0.00038031     | 0.00040399    
511             | Bi2O3_15Wt             | 10             | 6913935      | 5944834      | 0.859834      | 0.00038031     | 0.00041014    
511             | Bi2O3_20Wt             | 2              | 6913935      | 6691288      | 0.967797      | 0.00038031     | 0.00038659    
511             | Bi2O3_20Wt             | 4              | 6913935      | 6475800      | 0.936630      | 0.00038031     | 0.00039296    
511             | Bi2O3_20Wt             | 6              | 6913935      | 6267569      | 0.906513      | 0.00038031     | 0.00039944    
511             | Bi2O3_20Wt             | 8              | 6913935      | 6066165      | 0.877382      | 0.00038031     | 0.00040602    
511             | Bi2O3_20Wt             | 10             | 6913935      | 5871014      | 0.849157      | 0.00038031     | 0.00041271    
511             | Bi2O3_25Wt             | 2              | 6913935      | 6672662      | 0.965103      | 0.00038031     | 0.00038712    
511             | Bi2O3_25Wt             | 4              | 6913935      | 6439842      | 0.931429      | 0.00038031     | 0.00039406    
511             | Bi2O3_25Wt             | 6              | 6913935      | 6216002      | 0.899054      | 0.00038031     | 0.00040109    
511             | Bi2O3_25Wt             | 8              | 6913935      | 5999680      | 0.867766      | 0.00038031     | 0.00040826    
511             | Bi2O3_25Wt             | 10             | 6913935      | 5790663      | 0.837535      | 0.00038031     | 0.00041556    
511             | Bi2O3_30Wt             | 2              | 6913935      | 6652007      | 0.962116      | 0.00038031     | 0.00038772    
511             | Bi2O3_30Wt             | 4              | 6913935      | 6400528      | 0.925743      | 0.00038031     | 0.00039527    
511             | Bi2O3_30Wt             | 6              | 6913935      | 6159225      | 0.890842      | 0.00038031     | 0.00040294    
511             | Bi2O3_30Wt             | 8              | 6913935      | 5926366      | 0.857163      | 0.00038031     | 0.00041078    
511             | Bi2O3_30Wt             | 10             | 6913935      | 5702243      | 0.824746      | 0.00038031     | 0.00041877    
662             | PPS_0Wt                | 2              | 5828808      | 5704576      | 0.978687      | 0.00041420     | 0.00041869    
662             | PPS_0Wt                | 4              | 5828808      | 5584358      | 0.958062      | 0.00041420     | 0.00042317    
662             | PPS_0Wt                | 6              | 5828808      | 5466830      | 0.937898      | 0.00041420     | 0.00042769    
662             | PPS_0Wt                | 8              | 5828808      | 5351415      | 0.918098      | 0.00041420     | 0.00043228    
662             | PPS_0Wt                | 10             | 5828808      | 5238973      | 0.898807      | 0.00041420     | 0.00043689    
662             | G4_Pb                  | 2              | 5828808      | 4587335      | 0.787011      | 0.00041420     | 0.00046690    
662             | G4_Pb                  | 4              | 5828808      | 3607973      | 0.618990      | 0.00041420     | 0.00052646    
