Phase 2: ShieldingExactTwin — NaI(Tl) Photopeak Master Dataset
Total runs: 996  |  Histories/run: 10,000,000  |  Materials: 33
Peak integration: ±2.0σ  |  NaI resolution: FWHM = 2.06×√E_keV keV
RelErr = 1/√N (relative Poisson uncertainty)
============================================================================================================================================
Energy(keV)     | Material               | Thickness(mm)  | I0           | I            | I/I0          | RelErr(I0)     | RelErr(I)     
59.5            | Pb_10Wt                | 6              | 8271445      | 4325093      | 0.522894      | 0.00034770     | 0.00048084    
59.5            | Pb_10Wt                | 8              | 8271445      | 3485359      | 0.421372      | 0.00034770     | 0.00053564    
59.5            | Pb_10Wt                | 10             | 8271445      | 2807903      | 0.339469      | 0.00034770     | 0.00059677    
59.5            | Pb_15Wt                | 2              | 8271445      | 6113756      | 0.739140      | 0.00034770     | 0.00040443    
59.5            | Pb_15Wt                | 4              | 8271445      | 4519848      | 0.546440      | 0.00034770     | 0.00047037    
59.5            | Pb_15Wt                | 6              | 8271445      | 3342742      | 0.404130      | 0.00034770     | 0.00054695    
59.5            | Pb_15Wt                | 8              | 8271445      | 2471664      | 0.298819      | 0.00034770     | 0.00063607    
59.5            | Pb_15Wt                | 10             | 8271445      | 1828256      | 0.221032      | 0.00034770     | 0.00073957    
59.5            | Pb_20Wt                | 2              | 8271445      | 5558485      | 0.672009      | 0.00034770     | 0.00042415    
59.5            | Pb_20Wt                | 4              | 8271445      | 3737034      | 0.451799      | 0.00034770     | 0.00051729    
59.5            | Pb_20Wt                | 6              | 8271445      | 2513207      | 0.303841      | 0.00034770     | 0.00063079    
59.5            | Pb_20Wt                | 8              | 8271445      | 1688940      | 0.204189      | 0.00034770     | 0.00076947    
59.5            | Pb_20Wt                | 10             | 8271445      | 1135595      | 0.137291      | 0.00034770     | 0.00093840    
59.5            | Pb_25Wt                | 2              | 8271445      | 5000707      | 0.604575      | 0.00034770     | 0.00044718    
59.5            | Pb_25Wt                | 4              | 8271445      | 3024208      | 0.365620      | 0.00034770     | 0.00057503    
59.5            | Pb_25Wt                | 6              | 8271445      | 1829538      | 0.221187      | 0.00034770     | 0.00073931    
59.5            | Pb_25Wt                | 8              | 8271445      | 1105938      | 0.133706      | 0.00034770     | 0.00095090    
59.5            | Pb_25Wt                | 10             | 8271445      | 669025       | 0.080884      | 0.00034770     | 0.00122258    
59.5            | Pb_30Wt                | 2              | 8271445      | 4441438      | 0.536960      | 0.00034770     | 0.00047450    
59.5            | Pb_30Wt                | 4              | 8271445      | 2386229      | 0.288490      | 0.00034770     | 0.00064736    
59.5            | Pb_30Wt                | 6              | 8271445      | 1281437      | 0.154923      | 0.00034770     | 0.00088339    
59.5            | Pb_30Wt                | 8              | 8271445      | 687923       | 0.083168      | 0.00034770     | 0.00120567    
