Phase 1: Comprehensive Shielding Master Data
Photons Fired per run: 10000000 | Total Runs: 930
===================================================================================================================
Energy (keV)    | Material        | Thickness (mm)  | I_0        | I          | Ratio (I/I_0)   | Abs. Poisson Error
59.5            | W_5Wt           | 6               | 10000000   | 6977022    | 0.697702        | 0.00026414
59.5            | W_5Wt           | 8               | 10000000   | 6188402    | 0.61884         | 0.00024876
59.5            | W_5Wt           | 10              | 10000000   | 5489112    | 0.548911        | 0.00023429
59.5            | W_10Wt          | 2               | 10000000   | 8370042    | 0.837004        | 0.00028931
59.5            | W_10Wt          | 4               | 10000000   | 7005476    | 0.700548        | 0.00026468
59.5            | W_10Wt          | 6               | 10000000   | 5865869    | 0.586587        | 0.00024220
59.5            | W_10Wt          | 8               | 10000000   | 4910109    | 0.491011        | 0.00022159
59.5            | W_10Wt          | 10              | 10000000   | 4110837    | 0.411084        | 0.00020275
59.5            | W_15Wt          | 2               | 10000000   | 7850107    | 0.785011        | 0.00028018
59.5            | W_15Wt          | 4               | 10000000   | 6163579    | 0.616358        | 0.00024827
59.5            | W_15Wt          | 6               | 10000000   | 4840105    | 0.484011        | 0.00022000
59.5            | W_15Wt          | 8               | 10000000   | 3800294    | 0.380029        | 0.00019494
59.5            | W_15Wt          | 10              | 10000000   | 2983773    | 0.298377        | 0.00017274
59.5            | W_20Wt          | 2               | 10000000   | 7308514    | 0.730851        | 0.00027034
59.5            | W_20Wt          | 4               | 10000000   | 5343133    | 0.534313        | 0.00023115
59.5            | W_20Wt          | 6               | 10000000   | 3906770    | 0.390677        | 0.00019766
59.5            | W_20Wt          | 8               | 10000000   | 2855647    | 0.285565        | 0.00016899
59.5            | W_20Wt          | 10              | 10000000   | 2088027    | 0.208803        | 0.00014450
59.5            | W_25Wt          | 2               | 10000000   | 6746682    | 0.674668        | 0.00025974
59.5            | W_25Wt          | 4               | 10000000   | 4553058    | 0.455306        | 0.00021338
59.5            | W_25Wt          | 6               | 10000000   | 3072818    | 0.307282        | 0.00017529
59.5            | W_25Wt          | 8               | 10000000   | 2073274    | 0.207327        | 0.00014399
59.5            | W_25Wt          | 10              | 10000000   | 1398747    | 0.139875        | 0.00011827
59.5            | W_30Wt          | 2               | 10000000   | 6163580    | 0.616358        | 0.00024827
59.5            | W_30Wt          | 4               | 10000000   | 3799763    | 0.379976        | 0.00019493
59.5            | W_30Wt          | 6               | 10000000   | 2342522    | 0.234252        | 0.00015305
59.5            | W_30Wt          | 8               | 10000000   | 1444057    | 0.144406        | 0.00012017
